TITLE     = "ANALYZED MODEL"
VARIABLES = "X", "Y", "Z", "C"
ZONE T="STEP 0 Incr 0"
F = POINT
36.774300 -6.344440 -3.929450 0.000000
39.350300 -6.695790 -3.929450 0.000000
39.350300 -6.344440 -5.050870 0.000000
30.673500 -3.466010 -6.821720 0.000000
30.673500 -3.452160 -6.835090 0.000000
30.626200 -3.452160 -6.821720 0.000000
29.227400 -3.042910 -6.821720 0.000000
29.227400 -2.006020 -7.639130 0.000000
30.673500 -2.006020 -7.979230 0.000000
32.119700 -2.086480 -8.267860 0.000000
32.119700 -2.006020 -8.319010 0.000000
31.911400 -2.006020 -8.267860 0.000000
33.565800 -2.624440 -8.267860 0.000000
33.565800 -2.006020 -8.665390 0.000000
32.119700 -3.865030 -6.821720 0.000000
32.119700 -3.452160 -7.245330 0.000000
33.565800 -4.249190 -6.821720 0.000000
33.565800 -3.452160 -7.632610 0.000000
29.227400 -0.776649 -8.267860 0.000000
29.227400 -0.559886 -8.358970 0.000000
28.825900 -0.559886 -8.267860 0.000000
30.673500 -1.471900 -8.267860 0.000000
30.673500 -0.559886 -8.672450 0.000000
29.227400 0.886253 -8.754660 0.000000
30.673500 0.886253 -9.017440 0.000000
32.119700 -0.559886 -8.971130 0.000000
33.565800 -0.559886 -9.262540 0.000000
32.119700 0.886253 -9.263700 0.000000
33.565800 0.886253 -9.510680 0.000000
29.227400 -4.264620 -5.375590 0.000000
29.227400 -3.452160 -6.401920 0.000000
30.673500 -4.618120 -5.375590 0.000000
36.458100 -3.557170 -8.267860 0.000000
36.458100 -3.452160 -8.359550 0.000000
36.083700 -3.452160 -8.267860 0.000000
35.011900 -3.115510 -8.267860 0.000000
35.011900 -2.006020 -8.992250 0.000000
36.458100 -2.006020 -9.281510 0.000000
35.011900 -4.614470 -6.821720 0.000000
35.011900 -3.452160 -8.003350 0.000000
37.904200 -3.957080 -8.267860 0.000000
37.904200 -3.452160 -8.703430 0.000000
39.350300 -4.330110 -8.267860 0.000000
39.350300 -3.452160 -9.013670 0.000000
37.904200 -2.006020 -9.597990 0.000000
35.011900 -0.559886 -9.545070 0.000000
29.227400 -5.670200 -2.483310 0.000000
30.673500 -5.905990 -2.483310 0.000000
29.227400 -6.008380 -1.037170 0.000000
30.673500 -6.197120 -1.037170 0.000000
32.119700 -6.111990 -2.483310 0.000000
33.565800 -6.294910 -2.483310 0.000000
32.119700 -6.375950 -1.037170 0.000000
32.119700 -6.344440 -1.261560 0.000000
31.877800 -6.344440 -1.037170 0.000000
33.565800 -6.559630 -1.037170 0.000000
33.565800 -6.344440 -2.255700 0.000000
30.673500 -6.371360 0.408971 0.000000
30.673500 -6.344440 0.134345 0.000000
30.429600 -6.344440 0.408971 0.000000
29.227400 -6.197770 0.408971 0.000000
30.673500 -6.449550 1.855110 0.000000
29.812700 -6.344440 1.855110 0.000000
29.227400 -6.268100 1.855110 0.000000
32.119700 -6.555690 0.408971 0.000000
33.565800 -6.750730 0.408971 0.000000
32.119700 -6.649170 1.855110 0.000000
33.565800 -6.854310 1.855110 0.000000
35.011900 -6.477130 -2.483310 0.000000
35.011900 -6.344440 -3.063380 0.000000
33.982700 -6.344440 -2.483310 0.000000
36.458100 -6.662950 -2.483310 0.000000
36.458100 -6.344440 -3.787560 0.000000
35.011900 -6.746270 -1.037170 0.000000
36.458100 -6.927870 -1.037170 0.000000
37.904200 -6.848620 -2.483310 0.000000
39.350300 -7.026410 -2.483310 0.000000
37.904200 -7.096140 -1.037170 0.000000
39.350300 -7.248460 -1.037170 0.000000
35.011900 -6.938740 0.408971 0.000000
36.458100 -7.111570 0.408971 0.000000
35.011900 -7.044670 1.855110 0.000000
36.458100 -7.216290 1.855110 0.000000
37.904200 -7.266650 0.408971 0.000000
39.350300 -7.404460 0.408971 0.000000
37.904200 -7.365940 1.855110 0.000000
39.350300 -7.497170 1.855110 0.000000
42.242600 -5.021460 -8.267860 0.000000
42.242600 -4.898300 -8.412280 0.000000
41.673600 -4.898300 -8.267860 0.000000
40.796500 -5.771210 -6.821720 0.000000
40.796500 -4.898300 -8.042050 0.000000
42.242600 -6.005670 -6.821720 0.000000
43.688800 -5.316680 -8.267860 0.000000
43.688800 -4.898300 -8.759040 0.000000
45.134900 -5.578710 -8.267860 0.000000
45.134900 -4.898300 -9.086660 0.000000
45.134900 -6.443740 -6.821720 0.000000
45.134900 -6.344440 -7.015580 0.000000
44.434600 -6.344440 -6.821720 0.000000
43.688800 -6.226230 -6.821720 0.000000
40.796500 -6.434320 -5.375590 0.000000
40.796500 -6.344440 -5.597930 0.000000
40.205200 -6.344440 -5.375590 0.000000
42.242600 -6.638270 -5.375590 0.000000
42.242600 -6.344440 -6.098520 0.000000
40.796500 -6.884970 -3.929450 0.000000
42.242600 -7.063800 -3.929450 0.000000
43.688800 -6.832750 -5.375590 0.000000
43.688800 -6.344440 -6.571010 0.000000
45.134900 -7.020810 -5.375590 0.000000
43.688800 -7.230300 -3.929450 0.000000
45.134900 -7.386390 -3.929450 0.000000
46.581000 -5.823010 -8.267860 0.000000
46.581000 -4.898300 -9.392240 0.000000
48.027200 -6.054500 -8.267860 0.000000
48.027200 -4.898300 -9.692180 0.000000
46.581000 -6.653940 -6.821720 0.000000
46.581000 -6.344440 -7.420010 0.000000
48.027200 -6.852960 -6.821720 0.000000
48.027200 -6.344440 -7.797060 0.000000
50.919500 -6.496330 -8.267860 0.000000
50.919500 -6.344440 -8.499080 0.000000
49.877000 -6.344440 -8.267860 0.000000
49.473300 -6.279670 -8.267860 0.000000
49.473300 -7.044640 -6.821720 0.000000
49.473300 -6.344440 -8.162940 0.000000
50.919500 -7.228060 -6.821720 0.000000
49.473300 -7.872510 -3.929450 0.000000
49.473300 -7.790580 -4.315050 0.000000
48.849300 -7.790580 -3.929450 0.000000
50.919500 -8.059140 -3.929450 0.000000
50.919500 -7.790580 -5.076400 0.000000
46.581000 -7.199640 -5.375590 0.000000
48.027200 -7.372840 -5.375590 0.000000
46.581000 -7.537610 -3.929450 0.000000
48.027200 -7.694970 -3.929450 0.000000
49.473300 -7.539630 -5.375590 0.000000
50.919500 -7.712820 -5.375590 0.000000
40.796500 -4.688140 -8.267860 0.000000
40.796500 -3.452160 -9.360270 0.000000
42.242600 -3.452160 -9.702940 0.000000
40.796500 -7.189010 -2.483310 0.000000
42.242600 -7.339550 -2.483310 0.000000
40.796500 -7.389910 -1.037170 0.000000
42.242600 -7.524730 -1.037170 0.000000
43.688800 -7.482290 -2.483310 0.000000
45.134900 -7.621120 -2.483310 0.000000
43.688800 -7.654280 -1.037170 0.000000
45.134900 -7.786690 -1.037170 0.000000
45.134900 -7.920860 0.408971 0.000000
45.134900 -7.790580 -0.999302 0.000000
43.844100 -7.790580 0.408971 0.000000
43.688800 -7.864990 1.855110 0.000000
43.688800 -7.790580 0.602145 0.000000
42.926300 -7.790580 1.855110 0.000000
45.134900 -8.014140 1.855110 0.000000
40.796500 -7.531900 0.408971 0.000000
42.242600 -7.655040 0.408971 0.000000
40.796500 -7.617880 1.855110 0.000000
42.242600 -7.734840 1.855110 0.000000
43.688800 -7.777790 0.408971 0.000000
48.027200 -7.936800 -2.483310 0.000000
48.027200 -7.790580 -3.407110 0.000000
46.819800 -7.790580 -2.483310 0.000000
46.581000 -7.944770 -1.037170 0.000000
46.581000 -7.790580 -2.294850 0.000000
45.172100 -7.790580 -1.037170 0.000000
48.027200 -8.122240 -1.037170 0.000000
49.473300 -8.123240 -2.483310 0.000000
50.919500 -8.302330 -2.483310 0.000000
49.473300 -8.298770 -1.037170 0.000000
50.919500 -8.453770 -1.037170 0.000000
46.581000 -7.765110 -2.483310 0.000000
46.581000 -8.084370 0.408971 0.000000
48.027200 -8.254540 0.408971 0.000000
46.581000 -8.176490 1.855110 0.000000
48.027200 -8.332370 1.855110 0.000000
49.473300 -8.411040 0.408971 0.000000
50.919500 -8.543730 0.408971 0.000000
49.473300 -8.470790 1.855110 0.000000
50.919500 -8.586750 1.855110 0.000000
52.365600 -5.681250 -9.714000 0.000000
52.365600 -4.898300 -10.487800 0.000000
53.811700 -5.903720 -9.714000 0.000000
53.811700 -4.898300 -10.715100 0.000000
55.257900 -6.104640 -9.714000 0.000000
55.257900 -4.898300 -10.926100 0.000000
56.704000 -6.275300 -9.714000 0.000000
56.704000 -4.898300 -11.108300 0.000000
58.150200 -5.020430 -11.160100 0.000000
58.150200 -4.898300 -11.258000 0.000000
57.204700 -4.898300 -11.160100 0.000000
59.596300 -5.170260 -11.160100 0.000000
59.596300 -4.898300 -11.378200 0.000000
58.150200 -6.416860 -9.714000 0.000000
58.150200 -6.344440 -9.805750 0.000000
57.412100 -6.344440 -9.714000 0.000000
59.596300 -6.531860 -9.714000 0.000000
59.596300 -6.344440 -9.952050 0.000000
61.042400 -5.294140 -11.160100 0.000000
61.042400 -4.898300 -11.478300 0.000000
62.488600 -5.396830 -11.160100 0.000000
62.488600 -4.898300 -11.562200 0.000000
61.042400 -6.625970 -9.714000 0.000000
61.042400 -6.344440 -10.072200 0.000000
62.488600 -6.701170 -9.714000 0.000000
62.488600 -6.344440 -10.169400 0.000000
52.365600 -3.947940 -11.160100 0.000000
52.365600 -3.452160 -11.452500 0.000000
53.811700 -4.277620 -11.160100 0.000000
53.811700 -3.452160 -11.652000 0.000000
52.365600 -2.006020 -12.007100 0.000000
53.811700 -2.006020 -12.169400 0.000000
55.257900 -4.576690 -11.160100 0.000000
55.257900 -3.452160 -11.836200 0.000000
56.704000 -4.828170 -11.160100 0.000000
56.704000 -3.452160 -11.988600 0.000000
55.257900 -2.006020 -12.315800 0.000000
56.704000 -2.006020 -12.439200 0.000000
52.365600 -0.559886 -12.189200 0.000000
53.811700 -0.559886 -12.317700 0.000000
52.365600 0.886253 -12.041400 0.000000
53.811700 0.886253 -12.148400 0.000000
55.257900 -0.559886 -12.435200 0.000000
56.704000 -0.559886 -12.542000 0.000000
55.257900 0.886253 -12.247200 0.000000
56.704000 0.886253 -12.335400 0.000000
59.596300 -2.186970 -12.606300 0.000000
59.596300 -2.006020 -12.643600 0.000000
59.080600 -2.006020 -12.606300 0.000000
61.042400 -2.545460 -12.606300 0.000000
61.042400 -2.006020 -12.730400 0.000000
62.488600 -2.803920 -12.606300 0.000000
62.488600 -2.006020 -12.805400 0.000000
58.150200 -1.522190 -12.606300 0.000000
58.150200 -0.559886 -12.639600 0.000000
57.681800 -0.559886 -12.606300 0.000000
59.596300 -0.559886 -12.727400 0.000000
58.150200 -0.125356 -12.606300 0.000000
59.596300 0.346450 -12.606300 0.000000
61.042400 -0.559886 -12.806200 0.000000
62.488600 -0.559886 -12.876500 0.000000
61.042400 0.614021 -12.606300 0.000000
62.488600 0.812800 -12.606300 0.000000
58.150200 -3.452160 -12.109300 0.000000
59.596300 -3.452160 -12.201500 0.000000
58.150200 -2.006020 -12.545400 0.000000
61.042400 -3.452160 -12.290500 0.000000
62.488600 -3.452160 -12.366600 0.000000
58.150200 0.886253 -12.406900 0.000000
59.596300 0.886253 -12.470500 0.000000
61.042400 0.886253 -12.528600 0.000000
62.488600 0.886253 -12.583500 0.000000
63.934700 -5.476210 -11.160100 0.000000
63.934700 -4.898300 -11.630600 0.000000
65.380900 -5.531840 -11.160100 0.000000
65.380900 -4.898300 -11.684300 0.000000
63.934700 -6.757030 -9.714000 0.000000
63.934700 -6.344440 -10.243400 0.000000
65.380900 -6.792950 -9.714000 0.000000
65.380900 -6.344440 -10.293400 0.000000
66.827000 -5.569790 -11.160100 0.000000
66.827000 -4.898300 -11.725200 0.000000
68.273100 -5.593840 -11.160100 0.000000
68.273100 -4.898300 -11.754600 0.000000
66.827000 -6.811320 -9.714000 0.000000
66.827000 -6.344440 -10.323000 0.000000
68.273100 -6.816140 -9.714000 0.000000
68.273100 -6.344440 -10.336600 0.000000
69.719300 -5.605600 -11.160100 0.000000
69.719300 -4.898300 -11.773700 0.000000
71.165400 -5.606830 -11.160100 0.000000
71.165400 -4.898300 -11.783200 0.000000
69.719300 -6.810260 -9.714000 0.000000
