TITLE     = "New Centroid"
VARIABLES = "X", "Y", "Z"
ZONE T="Step 0 Incr 0"
F = POINT
 25.982 5.111 3.163
 27.882 5.112 3.163
 26.932 4.162 1.263
 26.932 4.162 5.063
 25.048 6.049 3.175
 24.982 7.203 -1.361
 25.021 7.196 0.578
 24.969 8.354 -0.145
 25.032 6.062 -0.637
 23.954 7.466 -2.486
 24.087 7.184 1.541
 26.192 9.165 0.215
 25.409 7.098 6.267
 25.304 6.299 7.347
 24.448 6.967 5.144
 28.485 8.211 3.899
 29.287 8.910 2.836
 40.232 3.212 2.212
 40.232 3.212 4.112
 40.232 2.261 3.163
 40.232 4.162 3.163
 41.182 3.212 1.263
 41.182 3.212 5.063
 39.282 1.311 3.163
 36.432 3.212 2.212
 36.432 3.212 4.112
 36.432 4.162 3.163
 36.432 2.261 3.163
 35.482 3.211 1.263
 35.482 3.212 5.063
 37.382 5.112 3.163
 39.282 3.212 1.263
 37.382 3.212 1.263
 38.332 4.162 1.263
 38.332 2.261 1.263
 40.232 3.211 0.313
 36.432 3.212 0.313
 38.332 5.112 2.212
 39.282 3.212 5.063
 37.382 3.212 5.063
 38.332 2.261 5.063
 38.332 4.162 5.063
 40.232 3.212 6.013
 36.432 3.212 6.013
 38.332 1.311 4.112
 43.082 1.311 3.163
 41.182 1.311 3.163
 42.132 1.311 2.212
 42.132 1.311 4.112
 44.032 0.361 3.163
 40.232 0.361 3.163
 42.132 2.262 1.263
 33.582 1.311 3.163
 35.482 1.311 3.163
 34.532 1.311 2.212
 34.532 1.311 4.112
 32.632 0.361 3.163
 36.432 0.361 3.163
 34.532 2.262 1.263
 38.332 5.111 -1.587
 38.332 5.112 0.313
 39.282 5.112 -0.637
 37.382 5.111 -0.637
 38.409 6.273 -2.758
 38.332 6.062 1.263
 40.232 4.162 -0.637
 34.512 -6.203 0.197
 30.756 -5.765 -0.599
 29.919 -5.450 -1.600
 28.091 -4.045 -0.948
 32.231 -5.354 -0.681
 34.375 -5.920 6.234
 32.492 -3.789 7.017
 30.705 -3.783 5.042
 30.603 -5.641 4.680
 29.607 -4.617 4.785
 31.700 -4.809 4.938
 30.819 -2.565 4.020
 28.580 -4.767 5.738
 26.380 -5.353 3.150
 27.279 -5.492 1.946
 27.141 -4.045 0.002
 26.812 -5.173 4.578
 28.846 -3.372 3.164
 28.737 -5.164 2.418
 28.798 -4.250 1.822
 28.787 -4.273 3.761
 29.782 -2.489 3.163
 26.157 -4.854 0.002
 33.439 -5.926 -0.964
 35.509 -5.821 7.200
 34.896 -6.265 3.904
 34.255 -5.622 1.432
 34.533 -5.539 5.058
 21.871 -3.244 3.312
 20.711 -3.722 3.184
 20.759 -4.393 2.175
 20.060 -4.217 0.981
 20.328 -4.194 4.401
 22.140 -2.099 3.165
 24.971 -3.781 2.219
 25.007 -3.721 3.978
 24.973 -4.530 3.030
 25.003 -2.982 3.166
 26.390 -4.574 1.349
 25.922 -4.260 4.928
 23.525 -4.525 0.486
 23.581 -4.029 1.683
 22.608 -3.723 0.484
 22.663 -3.234 1.680
 21.165 -4.218 -0.086
 24.684 -4.542 -0.321
 22.353 -3.760 4.676
 24.050 -3.828 4.864
 23.097 -3.083 5.001
 23.305 -4.509 4.539
 21.538 -4.137 5.413
 24.965 -4.364 5.814
 23.089 -2.099 4.115
 18.161 -2.596 2.926
 20.030 -2.576 3.037
 19.080 -2.576 2.087
 19.111 -2.596 3.876
 17.330 -1.627 3.212
 21.232 -1.539 3.163
 19.062 -3.552 1.041
 27.896 -2.422 3.164
 25.996 -2.422 3.164
 26.946 -2.422 2.214
 26.946 -2.422 4.114
 28.832 -1.539 3.163
 25.032 -1.539 3.163
 27.373 -3.775 1.347
 28.752 3.436 -5.635
 28.832 3.212 -3.487
 28.801 4.365 -4.703
 28.782 2.282 -4.419
 27.736 3.429 -6.608
 27.882 3.212 -2.537
 29.796 5.599 -4.897
 32.632 3.212 -5.388
 32.632 3.212 -3.487
 32.632 2.261 -4.437
 32.632 4.162 -4.437
 33.582 3.330 -6.561
 33.582 3.212 -2.537
 31.682 1.311 -4.438
 29.663 3.335 -6.776
 31.645 3.103 -6.512
 30.645 2.174 -6.493
 30.663 4.265 -6.794
 28.646 3.328 -7.750
 32.594 3.223 -7.691
 30.682 1.332 -5.369
 29.782 3.212 -2.537
 31.682 3.212 -2.537
 30.732 4.162 -2.537
 30.732 2.261 -2.537
 28.832 3.211 -1.587
 32.632 3.212 -1.587
 30.777 5.382 -3.667
 25.937 5.377 -4.515
 27.840 5.624 -4.874
 26.801 4.326 -6.542
 26.921 5.409 -3.649
 24.909 6.570 -4.680
 28.835 6.858 -5.068
 26.347 6.249 -6.428
 35.572 5.357 -4.628
 33.652 5.361 -4.638
 34.622 5.357 -5.578
 34.602 5.361 -3.688
 36.599 6.519 -4.848
 32.747 6.584 -4.819
 34.552 4.275 -6.550
 29.574 0.863 -8.064
 30.758 1.193 -7.569
 30.799 0.353 -6.422
 28.860 -4.154 -3.875
 28.952 -3.478 -4.882
 27.766 -4.292 -3.160
 32.088 -4.664 -3.789
 32.294 -3.988 -5.021
 33.114 -4.579 -2.671
 31.538 -2.768 -4.851
 29.696 -4.223 -2.822
 31.330 -4.399 -2.675
 30.660 -3.502 -2.697
 30.367 -5.119 -2.801
 29.259 -3.842 -0.555
 32.355 -4.323 -1.561
 30.660 -2.552 -3.647
 33.846 -5.637 -2.482
 30.732 -2.489 0.313
 30.732 -2.489 -1.587
 29.782 -2.489 -0.637
 31.682 -2.489 -0.637
 30.732 -1.539 1.263
 30.732 -1.539 -2.537
 29.246 -4.562 -1.627
 26.932 1.311 -3.487
 26.787 1.157 -5.708
 25.887 1.137 -4.776
 27.832 1.332 -4.419
 26.932 2.262 -2.537
 26.719 2.083 -6.673
 24.936 0.213 -4.794
 27.046 -2.421 -3.593
 27.338 -2.385 -5.771
 28.076 -2.466 -4.725
 26.309 -2.339 -4.638
 26.829 -3.572 -3.037
 28.912 -1.580 -4.617
 26.932 0.361 -2.537
 26.932 -1.539 -2.537
 27.882 -0.589 -2.537
 25.982 -0.589 -2.537
 26.932 1.311 -1.587
 26.715 -2.686 -1.980
 28.832 -0.589 -3.487
 27.032 0.352 -6.656
 27.466 -1.355 -6.623
 26.343 -0.538 -6.778
 28.152 -0.471 -6.513
 26.960 1.276 -7.637
 25.147 -0.656 -5.846
 24.998 4.129 -4.354
 24.937 2.087 -4.776
 25.032 3.212 -3.487
 24.662 3.666 -5.663
 23.971 5.320 -4.516
 23.986 1.163 -4.794
 25.982 3.211 -2.537
 25.616 -3.133 -4.631
 25.661 -3.892 -3.502
 24.553 -2.214 -4.536
 24.501 -4.049 -2.686
 28.832 -0.589 0.313
 28.832 -0.589 -1.587
 28.832 0.361 -0.637
 28.832 -1.539 -0.637
 29.782 -0.589 1.263
 29.782 -0.589 -2.537
 27.882 1.311 -0.637
 34.438 1.224 -5.519
 34.569 1.282 -3.515
 35.388 1.224 -4.569
 33.619 1.282 -4.465
 34.401 2.322 -6.665
 34.532 2.261 -2.537
 36.338 0.274 -4.569
 34.407 -3.748 -6.684
 34.445 -2.910 -3.789
 33.357 -2.987 -4.879
 35.243 -2.853 -4.809
 34.155 -2.930 -5.900
 34.408 -3.830 -2.811
 32.600 -1.775 -4.713
 33.873 -1.243 -6.208
 34.539 -2.735 -7.681
 34.665 -0.309 -7.190
 34.761 -0.144 -6.064
 34.083 1.789 -7.936
 33.775 -1.415 -7.344
 32.600 -0.825 -5.663
 34.569 0.332 -2.565
 34.635 -1.709 -2.681
 35.585 -0.759 -2.681
 33.619 -0.618 -2.565
 34.532 1.311 -1.587
 34.598 -2.629 -1.703
 36.535 -0.759 -3.631
 36.452 4.157 -4.427
 36.301 2.204 -4.541
 36.321 3.149 -5.481
 36.432 3.212 -3.487
 37.479 5.319 -4.647
 37.251 1.254 -4.541
 35.371 3.267 -6.654
 36.137 -5.517 -4.071
 36.167 -4.840 -5.553
 35.959 -4.810 -3.492
 36.025 -3.696 -4.702
 37.164 -2.495 -4.544
 37.511 -4.593 -6.307
 32.614 -1.036 -7.863
 32.846 0.076 -8.388
 31.725 -0.835 -6.702
 34.945 1.729 -8.855
 31.243 6.343 -6.639
 31.154 5.014 -7.608
 32.610 4.452 -8.040
 21.232 0.361 -0.637
 21.114 -1.731 -0.977
 21.232 -0.589 0.313
 21.114 -0.781 -1.927
 20.282 1.311 -0.637
 20.145 -2.708 -1.076
 22.182 -0.589 1.263
 25.032 0.361 -0.637
 25.032 -1.539 -0.637
 25.032 -0.589 -1.587
 25.032 -0.589 0.313
 25.982 1.311 -0.637
 25.765 -2.686 -1.030
 24.081 -0.562 -2.556
 22.182 1.311 -0.637
 24.082 1.311 -0.637
 23.132 1.311 -1.587
 23.132 1.311 0.313
 21.232 2.262 -0.637
 25.032 2.261 -0.637
 23.131 0.388 -2.556
 21.967 -2.784 -1.224
 23.986 -2.580 -0.879
 23.036 -2.580 0.071
 23.174 -3.578 -3.114
 20.997 -3.762 -1.323
 24.720 -3.726 -1.270
 23.132 -1.539 1.263
 18.382 -0.589 1.263
 20.282 -0.589 1.263
 19.332 0.361 1.263
 19.332 -1.539 1.263
 17.299 -0.658 2.373
 21.232 -0.589 2.212
 19.332 1.311 0.313
 27.882 -0.589 1.263
 25.982 -0.589 1.263
 26.932 0.361 1.263
 26.932 -1.539 1.263
 28.832 -0.589 2.212
 25.032 -0.589 2.212
 26.932 1.311 0.313
 23.132 4.162 -2.537
 23.132 2.261 -2.537
 22.182 3.212 -2.537
 24.082 3.212 -2.537
 23.055 5.352 -3.650
 23.131 1.338 -3.506
 21.232 3.211 -1.587
 32.382 2.643 11.413
 32.777 4.090 11.137
 32.457 3.303 10.275
 32.698 3.439 12.287
 34.056 3.030 12.866
 33.504 3.087 8.998
 32.162 4.895 11.033
 28.680 3.776 10.734
 28.723 2.588 11.545
 27.828 3.558 9.455
 29.587 1.554 11.313
 30.468 1.699 12.436
 31.523 3.324 9.365
 29.593 3.647 9.623
 30.870 5.233 10.409
 30.566 2.521 9.383
 32.570 3.108 8.088
 28.741 3.429 8.346
 30.550 4.450 9.605
 35.853 4.996 10.758
 34.019 4.765 10.779
 35.190 4.856 11.658
 34.682 4.904 9.879
 36.960 6.032 10.765
 33.405 5.571 10.675
 35.302 3.781 12.609
 30.772 0.502 12.840
 33.276 -4.404 9.481
 33.078 -3.673 10.666
 33.939 -4.383 8.658
 28.419 -4.153 8.178
 29.589 -3.227 10.192
 29.690 -4.000 8.965
 30.144 -2.368 10.417
 32.060 -4.583 8.632
 30.720 -3.690 8.850
 32.724 -4.556 7.807
 30.765 -2.430 9.700
 35.187 -5.274 8.465
 30.704 -2.834 5.992
 30.476 -2.747 8.059
 31.585 -2.868 7.048
 29.595 -2.713 7.003
 30.819 -1.615 4.970
 30.520 -1.492 8.912
 32.837 -5.556 6.650
 34.219 1.199 9.979
 35.416 1.698 12.859
 35.367 1.333 10.653
 33.188 1.365 11.203
 34.462 2.256 8.904
 34.216 1.707 13.387
 36.471 0.373 10.507
 34.371 -2.721 10.016
 34.572 -3.014 11.935
 33.541 -2.839 10.950
 35.401 -2.897 11.001
 34.571 -3.535 8.909
 32.370 -1.754 10.949
 34.256 0.278 9.024
 34.219 -1.679 9.093
 33.237 -0.707 9.130
 35.239 -0.695 8.987
 34.500 1.334 7.950
 34.420 -2.494 7.987
 32.217 -0.670 10.056
 35.393 -0.783 12.672
 34.395 -2.007 12.904
 34.875 0.833 12.043
 32.164 -1.268 12.057
 33.675 0.842 12.571
 36.483 -0.783 11.595
 36.644 4.175 10.741
 36.597 2.460 10.480
 36.431 3.255 9.769
 36.810 3.381 11.452
 37.751 5.211 10.747
 37.700 1.501 10.334
 35.444 3.183 8.867
 36.645 -3.937 10.978
 36.863 -4.649 9.798
 37.560 -2.928 10.861
 35.819 -4.426 8.716
 32.719 -0.665 5.920
 32.530 -0.600 8.056
 32.600 0.384 7.000
 32.650 -1.650 6.976
 31.769 -0.665 4.970
 31.510 -0.564 8.981
 33.550 1.334 7.000
 27.449 0.538 11.639
 27.565 1.868 11.566
 26.622 1.911 10.493
 26.507 0.589 10.556
 26.934 2.406 9.174
 25.014 0.083 11.070
 26.656 -2.796 8.074
 28.298 -2.542 10.619
 27.019 -3.625 8.735
 28.912 -0.823 11.967
 28.582 -0.726 10.125
 26.787 0.152 9.268
 26.638 -1.952 9.282
 25.760 -1.046 9.314
 27.665 -0.754 9.236
 26.880 1.348 8.062
 26.999 -2.789 9.951
 24.766 -1.075 10.386
 25.364 2.357 10.957
 25.277 3.435 10.271
 21.926 1.555 10.523
 30.158 -0.591 12.430
 40.232 0.361 6.963
 40.232 -1.539 6.963
 40.232 -0.589 6.013
 40.232 -0.589 7.912
 41.182 1.311 6.963
 41.182 -2.489 6.963
 39.282 -0.589 5.063
 36.432 0.361 6.963
 36.432 -1.539 6.963
 36.432 -0.589 7.912
 36.432 -0.589 6.013
 35.482 1.311 6.963
 35.439 -2.459 6.931
 37.498 -0.626 8.721
 39.282 1.311 6.963
 37.382 1.311 6.963
 38.332 1.311 7.912
 38.332 1.311 6.013
 40.232 2.262 6.963
 36.432 2.261 6.963
 38.448 0.324 8.721
 39.282 -2.489 6.963
 37.382 -2.489 6.963
 38.332 -2.489 6.013
 38.332 -2.489 7.912
 40.232 -3.439 6.963
 36.389 -3.409 6.931
 38.332 -1.539 5.063
 43.082 -0.589 5.063
 41.182 -0.589 5.063
 42.132 0.361 5.063
 42.132 -1.539 5.063
 44.032 -0.589 4.112
 40.232 -0.589 4.112
 42.132 1.311 6.013
 33.669 -0.665 4.970
 35.482 -0.589 5.063
 34.532 0.361 5.063
 34.619 -1.615 4.970
 32.719 -0.665 4.020
 36.432 -0.589 4.112
 34.532 1.311 6.013
 38.368 4.233 8.814
